EN         DATA
MEV        MB
13.0       1.97
13.6       1.74
14.2       2.72
14.8       3.67
15.1       4.22
15.6       4.83
16.2       6.39
16.7       8.20
17.2       8.19
17.8       5.47
18.2       2.06
18.7       3.25
19.2       2.07
19.7       2.52
20.2       1.82
20.7       2.53
21.2       1.40
21.7       1.73
22.2       2.69
23.1       1.71
