EN         DATA       ERR-S
MEV        MB         MB
12.1       11.1        2.3
13.1       20.0        2.9
14.0       28.9        2.0
14.9       46.2        1.8
15.9       63.1        2.9
16.9       68.9        4.6
17.8       70.3        4.9
18.7       59.1        4.6
19.6       54.9        6.2
20.4       36.         6.
21.4       30.3        6.
22.3       15.         6.
23.3       16.2        6.
24.2       12.         7.6
