EN         DATA       
MEV        MB        
17.6456    0.1050
17.8689    0.1426
17.9894    0.1777
18.1784    0.2300
18.4016    0.3007
18.6419    0.3930
18.8821    0.5039
19.1734    0.6042
19.4816    0.6973
19.8922    0.7744
20.5589    0.7812
21.1912    0.7371
21.7720    0.6693
22.3016    0.6137
22.7798    0.5520
23.2581    0.5013
23.6850    0.4510
24.1120    0.4057
24.5730    0.3581
