EN         DATA       DATA-ERR
MEV        MB         MB
8.31       9.72       0.17
8.45       17.89      0.33
8.75       32.26      0.66
8.95       36.93      0.84
9.20       47.81      1.17
9.51       55.39      1.46
10.14      74.13      2.22
10.79      121.38     3.40
11.46      186.82     5.08
12.14      269.35     7.49
12.85      269.15     8.58
13.57      222.26     8.28
