EN         DATA       DATA-ERR
MEV        MB         MB
     8.1       44.         4.
     8.3       50.         4.
     8.6       52.         4.
     8.8       70.         4.
     9.        60.         5.
     9.2       64.         5.
     9.4       69.         5.
     9.5       71.         4.
     9.8       71.         5.
    10.        96.         6.
    10.2      117.         6.
    10.4      132.         8.
    10.6      147.         7.
    10.8      167.         7.
    11.       176.         8.
    11.2      188.         7.
    11.4      219.        10.
    11.5      253.        10.
    11.8      276.        10.
    12.       318.        13.
    12.2      387.        10.
    12.4      442.        11.
    12.6      456.        11.
    12.8      489.        17.
    13.       551.        13.
    13.2      511.        17.
    13.4      470.        18.
    13.6      509.        17.
    13.8      496.        20.
    14.       402.        17.
    14.2      466.        19.
    14.4      478.	  0
    14.6      383.	  0
    14.8      395.	  0
    15.       408.	  0
    15.2      352.	  0	
    15.4      312. 	  0
    15.6      351.	  0
    15.8      312.  	  0
    16.       296.	  0
    16.2      274.	  0
    16.4      296.	  0
    16.6      234.	  0
    16.8      221.	  0
    17.       192.	  0
    17.3      185.	  0
    17.4      151.	  0
    17.6      169.	  0
    17.8      150.	  0
    18.       171.	  0
    18.2      161.	  0
    18.4      134.	  0
    18.7      125.	  0
    18.8      147.	  0
    19.1       84.	  0
    19.3      115.	  0
    19.5      109.	  0
    19.7      105.	  0
    19.9      108.	  0
    20.3       77.	  0
