EN         DATA       ERR-S
MEV        MB         MB
    8.02      12.5        0.6
    8.22      23.4        0.9
    8.42      33.6        1.2
    8.62      45.3        1.5
    8.82      56.9        1.6
    9.02      65.9        1.9
    9.22      71.8        3.1
    9.42      78.2        3.3
    9.62      89.1        4.0
    9.82      89.9        4.7
   10.02      94.8        5.6
   10.22     109.         6.5
   10.42     111.         6.7
   10.62     119.         7.3
   10.82     151.         8.9
   11.02     181.         6.6
   11.22     179.         9.4
   11.42     238.        11.
   11.62     268.        10.
   11.82     292.        13.
   12.02     316.        12.
   12.22     393.        13.
   12.42     409.        15.
   12.62     459.        14.
   12.82     470.        15.
   13.02     481.        16.
   13.22     495.        20.
   13.42     481.        20.
   13.62     456.        22.
   13.82     451.        19.
   14.02     480.        20.
   14.22     413.        28.
   14.42     425.        20.
   14.62     426.        27.
   14.82     438.        26.
   15.02     382.        18.
   15.22     404.        25.
   15.42     350.        18.
   15.62     322.        25.
   15.82     330.        23.
   16.02     266.        21.
   16.22     240.        19.
   16.42     280.        18.
   16.62     258.        21.
   16.82     206.        22.
   17.02     280.        25.
   17.22     234.        19.
   17.42     156.        20.
   17.62     160.        20.
   17.82     159.        23.
   18.02      78.        28.4
   18.22     106.        21.
   18.42     160.        21.
   18.62     149.        22.
   18.82     128.        25.
   19.02     140.        22.
   19.22     131.        29.
   19.42      72.        29.
   19.62      90.        26.
   19.82     116.        31.
   20.02     106.        21.
   20.22     106.        33.
