EN         DATA       ERR-S
MEV        MB         MB
7.33       1.66       0.43
7.44       2.20       0.38
7.53       2.73       0.46
7.66       3.70       0.19
7.79       3.78       0.22
7.93       5.12       0.17
8.03       5.55       0.11
8.16       5.77       0.22
8.33       6.74       0.22
8.45       7.30       0.19
8.61       7.37       0.26
8.81       8.93       0.21
9.00       8.94       0.22
9.13       9.14       0.22
9.21       9.62       0.25
9.28       9.98       0.27
9.34       9.96       0.28
9.78       12.69      0.51
10.18      14.33      0.55
10.71      17.43      0.58
11.12      20.29      0.69
11.46      22.81      0.72
11.86      27.67      0.95
12.75      42.93      1.13
