EN         DATA       DATA-ERR
MEV        MB         MB
   20.4        0.0        0.4
   21.4        0.7        0.4
   22.4        7.0        0.4
   23.4       13.6        0.4
   24.4       17.0        0.6
   25.4       18.7        0.6
   26.4       17.0        0.6
   27.4       17.1        0.6
   28.4       17.2        0.7
   29.4       17.6        0.7
   30.4       14.1        0.7
