EN         DATA       ERR-S
MEV        MB         MB
8.66       7.45       3.00
8.70       12.08      2.65
8.76       11.50      0.49
8.92       10.82      0.32
9.11       11.97      0.36
9.29       12.86      0.33
9.56       12.19      0.36
9.69       15.18      0.42
9.97       15.11      0.57
10.37      18.27      0.63
10.82      18.78      0.66
11.21      20.16      0.77
11.52      30.07      0.91
11.89      35.64      1.14
12.77      44.30      1.24
