EN         DATA       ERR-S
MEV        MB         MB
       8.15      20.02       1.04
       8.32      24.90       1.00
       8.53      24.36       1.06
       8.81      26.70       1.20
       9.28      34.31       1.38
       9.74      49.36       1.76
      10.20      63.62       2.25
      10.69      89.55       3.11
      11.18     122.10       4.10
      11.67     160.38       5.19
      12.14     203.41       6.65
      12.65     225.33       7.24
